Operating Station No.,应到总票数,Qty | Arrived,Data Date
JHR372,2364,2393,2025-04-25
JHR7401,2309,2307,2025-04-25
JHR383,2302,2675,2025-04-25
JHR389,2771,3038,2025-04-25
JHR336,9570,9989,2025-04-25
JHR362,8777,11368,2025-04-25
JHR368,5227,5652,2025-04-25
JHR370,5664,6220,2025-04-25
JHR349,5907,6131,2025-04-25
JHR350,3925,4049,2025-04-25
JHR359,8365,10228,2025-04-25
JHR365,4938,5876,2025-04-25
JHR375,2233,2773,2025-04-25
JHR377,6359,7135,2025-04-25
JHR380,2077,2630,2025-04-25
JHR429,2587,2662,2025-04-25
JHR354,5325,6458,2025-04-25
JHR7427,0,596,2025-04-25
JHR7429,1714,2359,2025-04-25
JHR358,1876,2331,2025-04-25
JHR7561,1476,1502,2025-04-25
JHR301,9769,11413,2025-04-24
JHR357,6686,7208,2025-04-24
JHR361,3636,4291,2025-04-24
JHR369,2179,2746,2025-04-24
JHR371,7144,7818,2025-04-24
JHR374,2570,2164,2025-04-24
JHR378,5638,5684,2025-04-24
JHR345,12910,12467,2025-04-24
JHR7564,1041,1068,2025-04-24
JHR382,3447,3407,2025-04-24
JHR384,3693,3651,2025-04-24
JHR302,7580,8688,2025-04-24
JHR315,6284,6140,2025-04-24
JHR7563,3079,3942,2025-04-24
JHR334,4127,4367,2025-04-24
JHR7422,1538,1622,2025-04-24
JHR360,5728,7787,2025-04-24
JHR379,6,0,2025-04-24
JHR307,5435,4888,2025-04-24
JHR310,17521,19267,2025-04-24
JHR319,4075,3876,2025-04-24
JHR343,4539,5492,2025-04-24
JHR366,2924,2782,2025-04-24
JHR373,4856,4841,2025-04-24
JHR376,5323,5688,2025-04-24
JHR381,412,3576,2025-04-24
JHR385,1480,1403,2025-04-24
JHR435,3871,3832,2025-04-24
JHR341,5263,4197,2025-04-24
JHR356,6957,6846,2025-04-24
JHR372,2091,2312,2025-04-24
JHR7401,1748,1895,2025-04-24
JHR383,1725,2398,2025-04-24
JHR389,3112,3207,2025-04-24
JHR336,10013,10380,2025-04-24
JHR362,10522,10019,2025-04-24
JHR368,5948,6585,2025-04-24
JHR370,5492,5643,2025-04-24
JHR349,5771,5807,2025-04-24
JHR350,3364,4022,2025-04-24
JHR359,12867,9683,2025-04-24
JHR365,5546,6339,2025-04-24
JHR375,3131,2972,2025-04-24
JHR377,4231,6020,2025-04-24
JHR380,1776,2916,2025-04-24
JHR429,2245,2221,2025-04-24
JHR354,6304,6435,2025-04-24
JHR7427,259,586,2025-04-24
JHR7429,2764,2242,2025-04-24
JHR358,2526,2564,2025-04-24
JHR7561,1380,1452,2025-04-24
JHR301,11150,10557,2025-04-23
JHR357,7707,8370,2025-04-23
JHR361,3935,4703,2025-04-23
JHR369,2631,2918,2025-04-23
JHR371,8077,9161,2025-04-23
JHR374,4439,3420,2025-04-23
JHR378,4027,4715,2025-04-23
JHR345,12560,14548,2025-04-23
JHR7564,1218,1246,2025-04-23
JHR382,3242,3569,2025-04-23
JHR384,4566,4291,2025-04-23
JHR302,10297,9173,2025-04-23
JHR315,7638,7284,2025-04-23
JHR7563,3881,4334,2025-04-23
JHR334,5182,4952,2025-04-23
JHR7422,1567,1654,2025-04-23
JHR360,8454,8113,2025-04-23
JHR379,4,0,2025-04-23
JHR386,1,0,2025-04-23
JHR042,0,2,2025-04-23
JHR307,4975,4620,2025-04-23
JHR310,21062,20856,2025-04-23
JHR319,4556,4199,2025-04-23
JHR343,6852,6461,2025-04-23
JHR366,3377,3500,2025-04-23
JHR373,4454,5375,2025-04-23
JHR376,6355,6355,2025-04-23
JHR381,238,4047,2025-04-23
JHR385,1251,1439,2025-04-23
JHR435,4109,4178,2025-04-23
JHR341,3555,4791,2025-04-23
JHR356,6973,6800,2025-04-23
JHR372,2476,2709,2025-04-23
JHR7401,2061,2381,2025-04-23
JHR383,2343,2457,2025-04-23
JHR389,3414,5015,2025-04-23
JHR336,9063,13349,2025-04-23
JHR362,11830,11882,2025-04-23
JHR368,5971,6057,2025-04-23
JHR370,5918,6271,2025-04-23
JHR349,4462,6350,2025-04-23
JHR350,5027,4653,2025-04-23
JHR359,7790,10163,2025-04-23
JHR365,7614,6780,2025-04-23
JHR375,4042,3738,2025-04-23
JHR377,7178,6187,2025-04-23
JHR380,3541,3165,2025-04-23
JHR429,2634,2832,2025-04-23
JHR354,6859,7279,2025-04-23
JHR7427,0,589,2025-04-23
JHR7429,1875,3648,2025-04-23
JHR358,2774,2747,2025-04-23
JHR7561,1805,1849,2025-04-23
