DP No. | Delivery,Destination Postcode,T0_Date,AWB_COD_N,AWB_COD_Y,AWB_NCOD_N,AWB_NCOD_Y
JHR301,86000,2025-03-27,0,1,0,0
JHR301,86400,2025-03-27,0,1,0,0
JHR301,86800,2025-03-27,2,0,0,0
JHR301,88000,2025-03-27,0,2,0,0
JHR301,88450,2025-03-27,0,3,1,1
JHR301,89008,2025-03-27,0,1,0,0
JHR301,89100,2025-03-27,0,1,0,0
JHR301,89108,2025-03-27,0,1,0,0
JHR301,89150,2025-03-27,0,1,0,0
JHR301,89208,2025-03-27,0,1,0,0
JHR301,89500,2025-03-27,0,1,0,0
JHR301,89608,2025-03-27,0,1,0,0
JHR301,89800,2025-03-27,0,1,0,0
JHR301,89850,2025-03-27,0,4,0,0
JHR301,90200,2025-03-27,0,2,0,0
JHR301,9100,2025-03-27,0,1,0,0
JHR301,91000,2025-03-27,0,1,0,1
JHR301,91150,2025-03-27,1,0,0,0
JHR301,91308,2025-03-27,0,1,0,0
JHR301,9300,2025-03-27,0,1,0,0
JHR301,93050,2025-03-27,0,1,0,0
JHR301,93350,2025-03-27,0,1,0,0
JHR301,9400,2025-03-27,0,2,0,0
JHR301,94300,2025-03-27,0,1,0,0
JHR301,94700,2025-03-27,0,1,0,0
JHR301,9600,2025-03-27,0,1,0,0
JHR301,98700,2025-03-27,0,0,0,1
JHR301,<NA>,2025-03-27,0,0,1,0
JHR302,10300,2025-03-27,0,1,0,0
JHR302,14000,2025-03-27,0,1,0,0
JHR302,14200,2025-03-27,1,0,0,0
JHR302,21800,2025-03-27,0,0,1,0
JHR302,26100,2025-03-27,0,1,0,0
JHR302,26600,2025-03-27,0,1,0,0
JHR302,31250,2025-03-27,0,1,0,0
JHR302,32610,2025-03-27,1,0,0,0
JHR302,40000,2025-03-27,0,1,0,0
JHR302,40300,2025-03-27,1,0,0,0
JHR302,40460,2025-03-27,0,1,0,0
JHR302,41050,2025-03-27,0,0,1,0
JHR302,41250,2025-03-27,1,2,0,0
JHR302,43200,2025-03-27,0,1,0,0
JHR302,43300,2025-03-27,0,0,1,0
JHR302,45700,2025-03-27,1,0,0,0
JHR302,47100,2025-03-27,0,2,0,0
JHR302,47301,2025-03-27,0,1,0,0
JHR302,47650,2025-03-27,0,0,0,1
JHR302,52100,2025-03-27,0,1,0,0
JHR302,53100,2025-03-27,0,1,0,0
JHR302,56000,2025-03-27,0,1,0,0
JHR302,68000,2025-03-27,0,1,0,0
JHR302,68100,2025-03-27,0,1,0,0
JHR302,70400,2025-03-27,0,1,0,0
JHR302,73400,2025-03-27,1,0,0,0
JHR302,79100,2025-03-27,0,1,0,0
JHR302,8000,2025-03-27,0,2,0,0
JHR302,80000,2025-03-27,8,7,2,2
JHR302,80050,2025-03-27,1,2,0,0
JHR302,80100,2025-03-27,16,10,1,3
JHR302,80110,2025-03-27,0,3,1,0
JHR302,80150,2025-03-27,0,4,1,1
JHR302,80200,2025-03-27,19,19,3,8
JHR302,80300,2025-03-27,0,3,1,1
JHR302,80350,2025-03-27,3,26,4,19
JHR302,80400,2025-03-27,1,1,0,0
JHR302,80500,2025-03-27,1,0,0,0
JHR302,80530,2025-03-27,0,1,0,0
JHR302,80612,2025-03-27,0,1,0,0
JHR302,81000,2025-03-27,0,0,1,1
JHR302,81030,2025-03-27,0,2,0,0
JHR302,81100,2025-03-27,75,33,28,9
JHR302,81120,2025-03-27,3,1,0,3
JHR302,81200,2025-03-27,1201,1818,855,2518
JHR302,81250,2025-03-27,1,1,0,0
JHR302,81300,2025-03-27,18,13,2,14
JHR302,81400,2025-03-27,0,1,0,0
JHR302,81410,2025-03-27,1,0,0,0
JHR302,81550,2025-03-27,0,1,0,0
JHR302,81560,2025-03-27,0,1,0,0
JHR302,81700,2025-03-27,0,1,0,0
JHR302,81800,2025-03-27,2,0,0,0
JHR302,82100,2025-03-27,6,2,0,3
JHR302,83000,2025-03-27,0,1,0,0
JHR302,84000,2025-03-27,3,0,0,0
JHR302,84300,2025-03-27,0,2,0,0
JHR302,85300,2025-03-27,0,2,0,0
